Column1;Column2;Column3;Column4;Column5;;;
Fecha y Hora;45992,58167;;;;;;
X;Y;Z;Gauss;mT;;;X
0.0;0.0;0.0;-453.63;;;;=
-262.5;-262.5;-525.0;-555.92;;;;
-225.0;-262.5;-525.0;-525.62;;;;
-187.5;-262.5;-525.0;-502.16;;;;
-150.0;-262.5;-525.0;-483.91;;;;
-112.5;-262.5;-525.0;-470.07;;;;
-75.0;-262.5;-525.0;-459.79;;;;
-37.5;-262.5;-525.0;-453.16;;;;
0.0;-262.5;-525.0;-450.18;;;;
37.5;-262.5;-525.0;-450.64;;;;
75.0;-262.5;-525.0;-454.4;;;;
112.5;-262.5;-525.0;-461.31;;;;
150.0;-262.5;-525.0;-471.51;;;;
187.5;-262.5;-525.0;-485.59;;;;
225.0;-262.5;-525.0;-504.66;;;;
262.5;-262.5;-525.0;-530.18;;;;
262.5;-225.0;-525.0;-495.1;;;;
225.0;-225.0;-525.0;-475.52;;;;
187.5;-225.0;-525.0;-460.14;;;;
150.0;-225.0;-525.0;-448.84;;;;
112.5;-225.0;-525.0;-440.64;;;;
75.0;-225.0;-525.0;-435.21;;;;
37.5;-225.0;-525.0;-432.46;;;;
0.0;-225.0;-525.0;-432.15;;;;
-37.5;-225.0;-525.0;-434.54;;;;
-75.0;-225.0;-525.0;-439.69;;;;
-112.5;-225.0;-525.0;-447.73;;;;
-150.0;-225.0;-525.0;-458.87;;;;
-187.5;-225.0;-525.0;-473.46;;;;
-225.0;-225.0;-525.0;-492.72;;;;
-262.5;-225.0;-525.0;-517.37;;;;
-262.5;-187.5;-525.0;-490.2;;;;
-225.0;-187.5;-525.0;-469.55;;;;
-187.5;-187.5;-525.0;-453.33;;;;
-150.0;-187.5;-525.0;-441.17;;;;
-112.5;-187.5;-525.0;-431.93;;;;
-75.0;-187.5;-525.0;-425.26;;;;
-37.5;-187.5;-525.0;-421.09;;;;
0.0;-187.5;-525.0;-419.13;;;;
37.5;-187.5;-525.0;-419.36;;;;
75.0;-187.5;-525.0;-421.53;;;;
112.5;-187.5;-525.0;-425.85;;;;
150.0;-187.5;-525.0;-432.26;;;;
187.5;-187.5;-525.0;-441.49;;;;
225.0;-187.5;-525.0;-453.77;;;;
262.5;-187.5;-525.0;-470.51;;;;
262.5;-150.0;-525.0;-454.41;;;;
225.0;-150.0;-525.0;-440.68;;;;
187.5;-150.0;-525.0;-429.84;;;;
150.0;-150.0;-525.0;-421.84;;;;
112.5;-150.0;-525.0;-416.06;;;;
75.0;-150.0;-525.0;-412.4;;;;
37.5;-150.0;-525.0;-410.56;;;;
